web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1767779644-1","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 17, 2025","575.00","585.00","565.00","565.00","565.00","130,500"
"1767779644-2","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 16, 2025","565.00","570.00","560.00","570.00","570.00","160,400"
"1767779644-3","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 15, 2025","570.00","580.00","565.00","565.00","565.00","89,200"
"1767779644-4","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 12, 2025","570.00","575.00","565.00","565.00","565.00","77,100"
"1767779644-5","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 11, 2025","565.00","570.00","560.00","565.00","565.00","31,400"
"1767779644-6","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 10, 2025","570.00","570.00","560.00","570.00","570.00","51,100"
"1767779644-7","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 9, 2025","570.00","575.00","555.00","565.00","565.00","29,500"
"1767779644-8","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 8, 2025","575.00","575.00","565.00","570.00","570.00","29,800"
"1767779644-9","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 5, 2025","575.00","575.00","560.00","565.00","565.00","193,600"
"1767779644-10","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 4, 2025","575.00","575.00","560.00","570.00","570.00","9,200"
"1767779644-11","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 3, 2025","570.00","575.00","560.00","570.00","570.00","9,900"
"1767779644-12","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 2, 2025","565.00","585.00","560.00","570.00","570.00","21,700"
"1767779644-13","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Dec 1, 2025","580.00","580.00","565.00","570.00","570.00","5,900"
"1767779644-14","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 28, 2025","575.00","580.00","570.00","575.00","575.00","12,800"
"1767779644-15","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 27, 2025","575.00","590.00","570.00","570.00","570.00","18,000"
"1767779644-16","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 26, 2025","570.00","575.00","565.00","570.00","570.00","44,800"
"1767779644-17","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 25, 2025","575.00","575.00","570.00","570.00","570.00","31,000"
"1767779644-18","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 24, 2025","575.00","580.00","570.00","575.00","575.00","12,000"
"1767779644-19","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 21, 2025","580.00","585.00","565.00","570.00","570.00","44,300"
"1767779644-20","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 20, 2025","580.00","585.00","575.00","580.00","580.00","16,700"
"1767779644-21","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 19, 2025","575.00","580.00","570.00","575.00","575.00","49,200"
"1767779644-22","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 18, 2025","580.00","580.00","570.00","575.00","575.00","18,500"
"1767779644-23","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 17, 2025","575.00","585.00","575.00","580.00","580.00","25,600"
"1767779644-24","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 14, 2025","580.00","585.00","575.00","585.00","585.00","22,900"
"1767779644-25","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 13, 2025","585.00","585.00","575.00","575.00","575.00","6,600"
"1767779644-26","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 12, 2025","585.00","590.00","580.00","585.00","585.00","28,100"
"1767779644-27","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 11, 2025","585.00","590.00","580.00","585.00","585.00","49,300"
"1767779644-28","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 10, 2025","585.00","595.00","580.00","580.00","580.00","4,700"
"1767779644-29","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 7, 2025","600.00","600.00","580.00","580.00","580.00","26,900"
"1767779644-30","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 6, 2025","590.00","600.00","590.00","595.00","595.00","19,300"
"1767779644-31","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 5, 2025","590.00","590.00","580.00","590.00","590.00","11,500"
"1767779644-32","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 4, 2025","590.00","590.00","580.00","580.00","580.00","13,800"
"1767779644-33","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Nov 3, 2025","575.00","620.00","575.00","585.00","585.00","87,100"
"1767779644-34","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 31, 2025","625.00","625.00","570.00","590.00","590.00","232,000"
"1767779644-35","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 30, 2025","580.00","630.00","575.00","630.00","630.00","155,500"
"1767779644-36","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 29, 2025","570.00","590.00","570.00","570.00","570.00","5,700"
"1767779644-37","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 28, 2025","595.00","595.00","575.00","575.00","575.00","2,600"
"1767779644-38","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 27, 2025","585.00","600.00","570.00","585.00","585.00","6,400"
"1767779644-39","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 24, 2025","580.00","615.00","550.00","570.00","570.00","144,700"
"1767779644-40","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 23, 2025","580.00","595.00","570.00","580.00","580.00","13,200"
"1767779644-41","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 22, 2025","580.00","630.00","565.00","580.00","580.00","174,800"
"1767779644-42","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 21, 2025","565.00","580.00","565.00","580.00","580.00","114,800"
"1767779644-43","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 20, 2025","555.00","570.00","555.00","565.00","565.00","52,900"
"1767779644-44","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 17, 2025","570.00","570.00","550.00","555.00","555.00","35,000"
"1767779644-45","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 16, 2025","555.00","570.00","550.00","570.00","570.00","12,900"
"1767779644-46","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 15, 2025","555.00","565.00","550.00","565.00","565.00","8,800"
"1767779644-47","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 14, 2025","555.00","570.00","550.00","565.00","565.00","58,600"
"1767779644-48","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 13, 2025","565.00","565.00","510.00","555.00","555.00","122,500"
"1767779644-49","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 10, 2025","570.00","570.00","560.00","565.00","565.00","52,600"
"1767779644-50","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 9, 2025","600.00","600.00","530.00","560.00","560.00","358,100"
"1767779644-51","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 8, 2025","605.00","605.00","575.00","600.00","600.00","160,800"
"1767779644-52","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 7, 2025","590.00","610.00","570.00","590.00","590.00","136,700"
"1767779644-53","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 6, 2025","575.00","615.00","560.00","610.00","610.00","900,000"
"1767779644-54","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 3, 2025","570.00","575.00","560.00","565.00","565.00","14,100"
"1767779644-55","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 2, 2025","570.00","580.00","565.00","570.00","570.00","12,600"
"1767779644-56","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Oct 1, 2025","565.00","565.00","555.00","560.00","560.00","59,200"
"1767779644-57","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 30, 2025","575.00","575.00","555.00","560.00","560.00","1,347,000"
"1767779644-58","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 29, 2025","580.00","580.00","565.00","575.00","575.00","161,200"
"1767779644-59","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 26, 2025","570.00","600.00","565.00","585.00","585.00","367,000"
"1767779644-60","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 25, 2025","575.00","600.00","565.00","575.00","575.00","15,000"
"1767779644-61","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 24, 2025","580.00","580.00","560.00","565.00","565.00","324,500"
"1767779644-62","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 23, 2025","570.00","570.00","555.00","570.00","570.00","164,300"
"1767779644-63","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 22, 2025","590.00","595.00","550.00","575.00","575.00","192,400"
"1767779644-64","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 19, 2025","625.00","625.00","550.00","585.00","585.00","178,500"
"1767779644-65","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 18, 2025","675.00","680.00","585.00","585.00","585.00","471,800"
"1767779644-66","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 17, 2025","560.00","700.00","555.00","685.00","685.00","198,200"
"1767779644-67","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 16, 2025","570.00","570.00","560.00","560.00","560.00","20,900"
"1767779644-68","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 15, 2025","565.00","565.00","560.00","565.00","565.00","17,200"
"1767779644-69","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 12, 2025","560.00","570.00","555.00","555.00","555.00","19,100"
"1767779644-70","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 11, 2025","555.00","560.00","555.00","560.00","560.00","3,300"
"1767779644-71","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 10, 2025","570.00","570.00","555.00","555.00","555.00","35,000"
"1767779644-72","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 9, 2025","570.00","570.00","560.00","570.00","570.00","12,700"
"1767779644-73","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 8, 2025","555.00","575.00","550.00","555.00","555.00","124,800"
"1767779644-74","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 4, 2025","560.00","560.00","555.00","555.00","555.00","28,600"
"1767779644-75","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 3, 2025","560.00","560.00","555.00","555.00","555.00","9,900"
"1767779644-76","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 2, 2025","560.00","570.00","555.00","560.00","560.00","291,100"
"1767779644-77","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Sep 1, 2025","565.00","570.00","555.00","555.00","555.00","6,100"
"1767779644-78","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 29, 2025","565.00","575.00","565.00","565.00","565.00","52,500"
"1767779644-79","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 28, 2025","575.00","580.00","555.00","575.00","575.00","24,800"
"1767779644-80","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 27, 2025","570.00","575.00","570.00","570.00","570.00","2,500"
"1767779644-81","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 26, 2025","565.00","570.00","560.00","560.00","560.00","35,600"
"1767779644-82","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 25, 2025","550.00","570.00","545.00","565.00","565.00","32,100"
"1767779644-83","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 22, 2025","570.00","575.00","565.00","570.00","570.00","8,900"
"1767779644-84","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 21, 2025","580.00","680.00","540.00","555.00","555.00","380,300"
"1767779644-85","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 20, 2025","590.00","590.00","580.00","580.00","580.00","25,600"
"1767779644-86","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 19, 2025","590.00","600.00","580.00","585.00","585.00","6,500"
"1767779644-87","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 15, 2025","585.00","585.00","580.00","585.00","585.00","9,000"
"1767779644-88","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 14, 2025","585.00","585.00","585.00","585.00","585.00","4,200"
"1767779644-89","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 13, 2025","580.00","595.00","580.00","585.00","585.00","1,700"
"1767779644-90","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 12, 2025","585.00","590.00","575.00","580.00","580.00","12,900"
"1767779644-91","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 11, 2025","580.00","585.00","575.00","585.00","585.00","4,800"
"1767779644-92","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 8, 2025","580.00","595.00","580.00","585.00","585.00","6,300"
"1767779644-93","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 7, 2025","595.00","595.00","585.00","585.00","585.00","1,800"
"1767779644-94","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 6, 2025","585.00","595.00","585.00","595.00","595.00","600"
"1767779644-95","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 5, 2025","585.00","590.00","585.00","585.00","585.00","6,000"
"1767779644-96","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 4, 2025","585.00","590.00","580.00","585.00","585.00","3,600"
"1767779644-97","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Aug 1, 2025","585.00","590.00","585.00","590.00","590.00","600"
"1767779644-98","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 31, 2025","615.00","615.00","580.00","585.00","585.00","16,400"
"1767779644-99","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 30, 2025","585.00","585.00","580.00","585.00","585.00","85,800"
"1767779644-100","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 29, 2025","615.00","615.00","585.00","585.00","585.00","9,500"
"1767779644-101","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 28, 2025","600.00","600.00","590.00","595.00","595.00","5,800"
"1767779644-102","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 25, 2025","595.00","595.00","595.00","595.00","595.00","100"
"1767779644-103","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 24, 2025","595.00","600.00","590.00","590.00","590.00","3,400"
"1767779644-104","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 23, 2025","595.00","595.00","595.00","595.00","595.00","2,600"
"1767779644-105","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 22, 2025","590.00","600.00","580.00","590.00","590.00","7,400"
"1767779644-106","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 21, 2025","595.00","600.00","590.00","595.00","595.00","6,600"
"1767779644-107","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 18, 2025","595.00","600.00","595.00","595.00","595.00","15,800"
"1767779644-108","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 17, 2025","595.00","605.00","595.00","595.00","595.00","23,300"
"1767779644-109","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 16, 2025","595.00","595.00","585.00","595.00","595.00","41,100"
"1767779644-110","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 15, 2025","600.00","600.00","590.00","595.00","595.00","52,200"
"1767779644-111","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 14, 2025","600.00","650.00","580.00","585.00","585.00","471,800"
"1767779644-112","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 11, 2025","670.00","730.00","650.00","680.00","680.00","83,900"
"1767779644-113","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 10, 2025","595.00","740.00","590.00","680.00","680.00","335,000"
"1767779644-114","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 9, 2025","595.00","625.00","590.00","595.00","595.00","24,700"
"1767779644-115","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 8, 2025","585.00","595.00","585.00","595.00","595.00","2,600"
"1767779644-116","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 7, 2025","605.00","605.00","585.00","585.00","585.00","3,600"
"1767779644-117","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 4, 2025","590.00","610.00","590.00","605.00","605.00","20,300"
"1767779644-118","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 3, 2025","590.00","595.00","590.00","590.00","590.00","6,800"
"1767779644-119","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 2, 2025","585.00","605.00","580.00","590.00","590.00","20,800"
"1767779644-120","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jul 1, 2025","600.00","600.00","590.00","590.00","590.00","3,400"
"1767779644-121","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Jun 30, 2025","590.00","600.00","570.00","600.00","600.00","26,800"
